stream	patch	mother_pl_id	mother_pl_id_old	offspring_id	offspring_id_new	n_bud-170511	n_bud-170518	n_fl-170518	n_bud-170521	n_fl-170521	n_bud-170524	n_fl-170524	n_bud-170528	n_fl-170528	n_bud-170602	n_fl-170602	n_bud-170609	n_fl-170609	n_bud-170616	n_fl-170616	n_fl-170619	diam_fl1	diam_fl2	diam_fl3
Park	3	558	558	8	8									1	1									
Park	3	558	558	9	9										1									
Park	3	558	558	10	10				6		6		11		17	1		1						
Park	3	611	611	1	1				11	3	13	9	29	11	35	4		3				8	8,5	7
Park	3	611	611	2	2				1	3	2	2	12	2	10	2								
Park	3	611	611	3	3				4		6		10	2	8									
Park	3	611	611	4	4						2		3	3	5	2		2						
Park	3	611	611	5	5								3	1	8	2		1		1				
Park	3	611	611	6	6												4		2	4				
Park	3	611	611	7	7													1						
Park	3	611	611	8	8							1	7	1	8	2		5		2		6	6	6
Park	3	611	611	9	9								2	2	6	3		3				7	8	8,5
Park	3	611	611	10	10											1								
Park	3	737	737	1	1								2		5			1						
Park	3	737	737	3	3																			
Park	3	737	737	4	4		26	3	27	3	24	9	34	2	31	3		1						
Park	3	737	737	6	6								4	3	5	3		2						
Park	3	737	737	7	7																			
Park	3	737	737	8	8				3	1	4	6	15	1	13	3	5	4				4,5	5	6
Park	3	737	737	9	9					2			10	16	5	20		4				7	7	7
Park	3	737	737	10	10						5		11		10	1		1						
Park	3	983	983	1	1						9	5	12	12	15	7						7	7	6,5
Park	3	983	983	2	2								6	1	9	2								
Park	3	983	983	3	3						5	4	13	11	20	13	22	18	12	8		9	9	8
Park	3	983	983	4	4								4	4	11	3		1				6,5	6	7
Park	3	983	983	5	5				5	3	5	3	15	3	12	1								
Park	3	983	983	6	6						1	2	8	2	10	4		1				7	7	6,5
Park	3	983	983	7	7				17	3	15	9	22	11	20	5	5	7				5	5,5	6
Park	3	983	983	8	8													2						
Park	3	983	983	9	9											1								
Park	3	983	983	10	10				3	1	3	1	5	1	7									
Park	4	378	378	1	1						2	1	9	4	12	3								
Park	4	378	378	2	2																			
Park	4	378	378	3	3								3		3									
Park	4	378	378	4	4						6	2	19	1	18	1								
Park	4	378	378	5	5										1									
Park	4	378	378	6	6																			
Park	4	378	378	7	7								9	5		3								
Park	4	378	378	8	8								2	1	5	3		3		2		6	7	
Park	4	378	378	9	9						2		3	2	5									
Park	4	378	378	10	10										1			1						
Park	4	447	447	1	1																			
Park	4	447	447	2	2										1									
Park	4	447	447	3	3																			
Park	4	447	447	4	4																			
Park	4	447	447	5	5													1						
Park	4	447	447	6	6				4	1	3	2	9	2	10									
Park	4	447	447	7	7				3		5	2	13		8	1								
Park	4	447	447	8	8													1						
Park	4	447	447	9	9															1				
Park	4	447	447	10	10								3	1	4									
Park	4	595	595	1	1							2	3	2	9	2	2							
Park	4	595	595	2	2																			
Park	4	595	595	3	3				2						7	1		1		2				
Park	4	595	595	4	4		12		11	2	11	5	36	7	16			1						
Park	4	595	595	5	5				6	2	9	2	29	6	40	6		2						
Park	4	595	595	6	6								8	7	8	5	26	7	2	4		7	8	8
Park	4	595	595	7	7						4	2	9	2	11	2								
Park	4	595	595	8	8								5	1	18	1				4		6,5	7,5	7
Park	4	595	595	9	9								8	3	4	2		1						
Park	4	595	595	10	10				10	1	17	6	40	5	30	3						6,5	7	7,5
Park	4	700	700	1	1				15	2	15	7	38	8	45	2								
Park	4	700	700	3	3						3	2	14	1	12	4		3				7	7	6
Park	4	700	700	4	4								14	3	10	2								
Park	4	700	700	6	6								1	1										
Park	4	700	700	7	7																			
Park	4	700	700	8	8		6		7	2	9	2	24	4	16	3	2							
Park	4	700	700	9	9						6	4	22	2	20									
Park	4	700	700	10	10						2	2	7	2	3	1								
Park	4	814	814	1	1				12	1	12	8	18	4	10			2						
Park	4	814	814	2	2						1	1	2	1	2	1								
Park	4	814	814	3	3		22		29		20	8	48	5	20	1		2				7	7	7
Park	4	814	814	4	4								8		10	2		3				6	7	7
Park	4	814	814	5	5																			
Park	4	814	814	6	6																			
Park	4	814	814	7	7																			
Park	4	814	814	8	8										7	1		1						
Park	4	814	814	9	9															1				
Park	4	814	814	10	10								10	13	12	11		2				7,5	8	4,5
Park	5	389	389	2	2																			
Park	5	389	389	4	4																			
Park	5	389	389	5	5																			
Park	5	389	389	5	5	2	15	2	15	2	13	4	19	2	14									
Park	5	389	389	6	6																			
Park	5	389	389	7	7						6	1	16	1	19	6						6	6,5	7
Park	5	389	389	8	8						5	3	12	4	18	6		4				7,5	8	7
Park	5	389	389	9	9				10	2	11	5	31	4	18	6		2				5,5	7	6,5
Park	5	389	389	10	10				4		3		9	1	13	1		1		1				
Park	5	672	672	1	1		10		10		22	8	51	15	52	15		3				8	6	8
Park	5	672	672	2	2		14	1	20	4	16	11	41	12	30	11		1				6,5	7,5	7
Park	5	672	672	3	3	6	30	4	44	4	38	15	55	16	50	5		2	2			7	7	6
Park	5	672	672	4	4																			
Park	5	672	672	5	5						9	6	45	8	40	15	21	8				7	7	6
Park	5	672	672	6	6	2	12	1	28	1	33	3	40	12	40	8	95	24	6	10		7	8	7,5
Park	5	672	672	7	7		17		21	2	20	8	45	5	36	20		4				9	8	7
Park	5	672	672	8	8		10		18		16	2	43	15	40	21	12	10	3	6		6	6	7
Park	5	672	672	9	9		40	1	28	3	45	13	100	20	100	19		3				8	7,5	6,5
Park	5	672	672	10	10		6		10	3	18	1	45	15	38	16		4				9,5	7	8,5
Park	5	913	913	1	1		21	5	26	5	34	7	29	8	15	3						6	6	7
Park	5	913	913	2	2																			
Park	5	913	913	3	3	2	16	2	23	2	20	7	27	7	27	3	3	1						
Park	5	913	913	4	4				18	1	14	9	33	12	20	7						7,5	7	6,5
Park	5	913	913	5	5																			
Park	5	913	913	6	6																			
Park	5	913	913	7	7																			
Park	5	913	913	8	8		4	4	6	4	10	4	14	2	10									
Park	5	913	913	9	9																			
Park	5	913	913	10	10																			
Park	5	1012	1012	2	2							2	9		10		14	5	10	6		6,5	7	7
Park	5	1012	1012	3	3							1	11		10	3	10	8	2	4		7	7,5	6,5
Park	5	1012	1012	4	4						3	2	7	2	8	2	35	7	10	13		6	6	7
Park	5	1012	1012	5	5																			
Park	5	1012	1012	6	6																			
Park	5	1012	1012	8	8											1		3						
Park	5	1012	1012	9	9								3	1	4		6	3	3			6	6	6,5
Park	5	1072	1072	1	1						1	2	5											
Park	5	1072	1072	3	3		6	3	8	3	6	5	15	1	10	4	6	1						
Park	5	1072	1072	6	6								6	3	7	2		6				6,5	6	6
Park	5	1072	1072	7	7																			
Park	5	1072	1072	9	9		9		23		17	4	28	7	21	4		2				7	7	7,5
Park	5	1072	1072	10	10							1	3	1	4	2	3							
Park 	1	428	428	3	3						3	4	11	9	9	4	25	15	14	19		7	7	7
Park 	1	782	782	5	5								4	1	8		2	4						
WS	1	43	43	1	1								6	2	9	5		6		2		7	7	6,5
WS	1	43	43	2	2								5	3	4	4		1						
WS	1	43	43	3	3		7		7		7		8		5	3	2	2		2				
WS	1	43	43	4	4											1								
WS	1	43	43	5	5																			
WS	1	43	43	6	6																			
WS	1	43	43	7	7													2	1	1		7		
WS	1	43	43	8	8																			
WS	1	43	43	10	10								10	2	25	3		3						
WS	1	53	53	1	1													2	1	2		7	6	
WS	1	53	53	2	2										11	5		5				6,5	8	5,5
WS	1	53	53	3	3										2	1		2		2		7	7	
WS	1	53	53	4	4								9	1				6						
WS	1	53	53	5	5								6		7	5		7		4		8	7	5
WS	1	53	53	6	6																			
WS	1	53	53	7	7																			
WS	1	82	82	1	1																			
WS	1	82	82	2	2																			
WS	1	82	82	3	3								1	1	6	4	10	6	3	12	2	7	6	7
WS	1	82	82	4	4						3	1	7											
WS	1	82	82	6	6						4	1	14	7	13	7		5		3	2	7	7	5
WS	1	82	82	7	7																			
WS	1	82	82	8	8																			
WS	1	82	82	9	9																			
WS	1	82	82	10	10										2	1		2		3		7	7	7
WS	1	118	118	3	3												2			2				
WS	1	218	218	1	1								2		7									
WS	1	218	218	4	4						5	2	15	1	10									
WS	1	218	218	6	6						3		7	1	12									
WS	1	218	218	7	7																			
WS	1	218	218	8	8																			
WS	1	218	218	9	9						1	1	15	6	24	5	4	6				6,5	7	7
WS	1	218	218	10	10								4	2	4	4						5,5	6	5
WS	1	287	287	1	1																			
WS	1	287	287	2	2										5									
WS	1	287	287	3	3																			
WS	1	287	287	4	4								1											
WS	1	287	287	6	6																			
WS	1	287	287	7	7																			
WS	1	287	287	9	9												2		2	1				
WS	1	287	287	10	10																			
WS	1	xtra	1xa	1	1																			
WS	1	Xtra	1xa	2	2													5	5	10	7	7	7	7,5
WS	1	Xtra	1xa	3	3															3		7,5	7	7
WS	1	xtra	1xb	3	3																			
WS	1	Xtra	1xa	4	4												4	6	6	4		7,5	7	8
WS	1	xtra	1xa	5	5										1	1	2	2						
WS	1	Xtra	1xb	5	5										3	5	16	8	10	9	2	7,5	7	8
WS	1	Xtra	1xa	6	6															1		7		
WS	1	xtra	1xb	6	6																			
WS	1	Xtra	1xa	7	7											2		2		15		7	7	7
WS	1	Xtra	1xb	7	7												3	1		3				
WS	1	Xtra	1xa	8	8								6	3	10	5	11	7	6	10		7	7	6,5
WS	1	Xtra	1xa	9	9													1						
WS	1	xtra	1xb	9	9								7		6	6		6		7		6	7	6,5
WS	1	Xtra	1xa	10	10								9	3	5	2		1						
WS	1	Xtra	1xb	10	10														2	1				
WS	2	10	10	1	1								5	3	5	3	4							
WS	2	10	10	2	2											2	13	8	10	8		6	7	7,5
WS	2	10	10	4	4									1	7	11	24	24	30	55	5	6	7	8
WS	2	10	10	5	5								2		3	1								
WS	2	10	10	6	6								9	5	14	2								
WS	2	10	10	7	7						5	1												
WS	2	10	10	8	8										21	10	48	22	4	13		9	7	6,5
WS	2	10	10	9	9										7	7	40	8	20	4	2	7	9	8,5
WS	2	10	10	10	10																			
WS	2	109	109	1	1																			
WS	2	109	109	2	2																			
WS	2	168	168	1	1						2	1	9		10	2	6	2						
WS	2	168	168	2	2									1	3	5	21	10	13	10		9	7	9
WS	2	168	168	3	3										15	9	35	17	8	9	3	8	9	8
WS	2	168	168	4	4												2	1		2				
WS	2	168	168	5	5										4	3	2	8	1	4		6,5	7	6,5
WS	2	168	168	6	6												6	6	3	5		6	6,5	7,5
WS	2	168	168	7	7								4	2	15	7	40	12	4	15	4	7,5	8	7,5
WS	2	168	168	8	8								15	4	36	15	76	16	6	18		7	7	6,5
WS	2	168	168	9	9										18	4	46	18	3	12	2	7	9	7
WS	2	168	168	10	10								2	2	5	2	16	6	10	7		9	5	7
WS	2	235	235	1	1																			
WS	2	235	235	2	2																			
WS	2	235	235	3	3												3	3				6	6	6,5
WS	2	235	235	4	4																			
WS	2	235	235	5	5																			
WS	2	235	235	6	6																			
WS	2	235	235	7	7																			
WS	2	235	235	9	9																			
WS	2	235	235	10	10																			
WS	2	333	333	1	1												2	1	5	1				
WS	2	333	333	2	2																			
WS	2	333	333	3	3																			
WS	2	333	333	4	4								14	3	15	2		2						
WS	2	333	333	6	6																			
WS	2	333	333	7	7																			
WS	2	333	333	9	9																			
WS	2	333	333	10	10															1				
WS	2	Xtra	2x	10	10										2	3	12	7	7	10		7	8	8
WS	3	5	5	1	1																			
WS	3	5	5	2	2								7		6									
WS	3	5	5	3	3																			
WS	3	5	5	4	4																			
WS	3	5	5	5	5																			
WS	3	5	5	6	6								4		5							7	6,5	6
WS	3	5	5	7	7																			
WS	3	5	5	8	8																			
WS	3	5	5	9	9																			
WS	3	5	5	10	10								3	1	8	4								
WS	3	144	144	1	1												5	4	6	3		6	7	7
WS	3	144	144	2	2								1	1	1	3	12	2	2	2		7	9	
WS	3	144	144	3	3												7	1	3	5		6,5	7	7
WS	3	144	144	4	4												1		2	1				
WS	3	144	144	5	5												2	2	2	1		9	8	
WS	3	144	144	6	6								6	2	5	1	6	4	10	8	3	5,5	6	6
WS	3	144	144	7	7												5		2	3		7	7	7
WS	3	144	144	8	8										4		6	9	2	3		8	7	8,5
WS	3	144	144	10	10										2	3	24	10	8	12	4	6	8,5	8
WS	3	223	223	1	1																			
WS	3	223	223	2	2																			
WS	3	223	223	3	3																			
WS	3	223	223	4	4										3			5				7	7	7,5
WS	3	223	223	5	5								3		4	4		5		1		5	7	6,5
WS	3	282	282	1	1								3		3	2	10	2	3			6,5	7,5	
WS	3	282	282	2	2																			
WS	3	282	282	3	3												5	4	6	5		8,5	8	7
WS	3	282	282	4	4								2	2	3	2	14	3	10	3		6	7	8
WS	3	282	282	6	6																			
WS	3	282	282	7	7																			
WS	3	282	282	8	8																			
WS	3	282	282	9	9								12		17	3								
WS	3	287	287	5	5																			
WS	3	325	325	1	1								3				11	3	3	5		7,5	6	8
WS	3	325	325	2	2																			
WS	3	325	325	4	4																			
WS	3	325	325	5	5								4		4	6	3	11	2	8		6	7	6,5
WS	3	325	325	6	6																			
WS	3	325	325	7	7																			
WS	3	325	325	8	8												2	3	4	5	3	7	9	8,5
WS	3	325	325	10	10												2	2	3	4				
WS	3	Xtra	3x	1	1																			
WS	3	Xtra	3x	2	2																			
WS	3	Xtra	3x	3	3																			
WS	3	Xtra	3x	4	4																			
WS	3	Xtra	3x	5	5												4	1	2	2		10		
WS	3	Xtra	3x	6	6										3	4	7		6	4		7	7	7
WS	3	Xtra	3x	7	7												1		1					
WS	3	xtra	3x	8	8																			
WS	3	Xtra	3x	9	9										1	1	7	5	2	3		6	7	8,5
WS	4	443	443	1	1																			
WS	4	443	443	2	2																			
WS	4	443	443	3	3																			
WS	4	443	443	4	4								1							1				
WS	4	443	443	5	5																			
WS	4	443	443	6	6																			
WS	4	443	443	7	7																			
WS	4	443	443	8	8																			
WS	4	443	443	9	9																			
WS	4	443	443	10	10																			
WS	4	542	542	1	1																			
WS	4	542	542	2	2																			
WS	4	542	542	3	3								12	5	28	4		2			2			
WS	4	542	542	4	4												8	7		9		6	7	7
WS	4	542	542	5	5								9	4	8	2	3	9		6		7	7	7
WS	4	542	542	6	6																			
WS	4	542	542	7	7													2						
WS	4	542	542	8	8																			
WS	4	542	542	10	10								6	5	15	3	4	1		5				
WS	4	572	572	9	9								4	3	5	2								
WS	4	829	829	2	2												1	1	3	1				
WS	4	829	829	6	6																			
WS	4	829	829	7	7												1	2	2	2		6	6	
WS	4	829	829	10	10												2	1	2	1				
WS	4	927	927	1	1								6	1	14	3		2				7	6,5	8,5
WS	4	927	927	2	2										5			1						
WS	4	927	927	3	3																			
WS	4	927	927	4	4													1				6,5		
WS	4	927	927	5	5													1	2	2		6	7	
WS	4	927	927	6	6												7	1	2	1				
WS	4	927	927	7	7												3	3	4	4		7	7	6
WS	4	927	927	8	8								5	1	6	2		1				6		
WS	4	927	927	9	9								1		2		2							
WS	4	927	927	10	10																			
WS	4	1076	1076	3	3																			
WS	4	1076	1076	4	4																			
WS	4	1076	1076	5	5																			
WS	4	1076	1076	7	7																			
WS	4	Xtra No. 4	4x	2	2																			
WS	4	xtra no. 4	4x	3	3													3		3		7	7	7
WS	4	Xtra No. 4	4x	4	4																			
WS	4	Xtra No. 4	4x	7	7																			
WS	4	Xtra No. 4	4x	8	8																			
WS	4	Xtra No. 4	4x	9	9																			
WS	4	Xtra No. 4	4x	10	10								5	5	7	4		3		7	2			
WS	5	521	521	1	1																			
WS	5	521	521	2	2																			
WS	5	521	521	3	3								6		9	2								
WS	5	521	521	4	4																			
WS	5	521	521	6	6								4		4	1		4				6,5	6	7,5
WS	5	521	521	7	7							1	3	4	6	3	11	5	4	5		7	6,5	7
WS	5	521	521	8	8											2	10	6	5	6	5	5,5	5	6
WS	5	521	521	9	9										6	2		6	4	6	2	6,5	6	7
WS	5	521	521	10	10								1	2	8	3	16	7	3	8		9	9	11
WS	5	597	597	1	1																			
WS	5	597	597	5	5																			
WS	5	597	597	6	6																			
WS	5	597	597	7	7																			
WS	5	597	597	8	8																			
WS	5	597	597	9	9																			
WS	5	599	599	1	1												2			1		7		
WS	5	599	599	2	2																			
WS	5	599	599	5	5																			
WS	5	599	599	7	7																			
WS	5	599	599	8	8																			
WS	5	599	599	10	10																			
WS	5	671	671	4	4																			
WS	5	671	671	8	8												5	2		3		7	7	6
WS	5	671	671	9	9																			
WS	5	671	671	10	10																			
WS	5	746	746	1	1																			
WS	5	746	746	2	2																			
WS	5	746	746	3	3																			
WS	5	746	746	5	5																			
WS	5	746	746	6	6																			
WS	5	746	746	8	8															2		7	6	
WS	5	746	746	9	9																			
WS	5	746	746	10	10																			
